timestamp_dt,total_logs,warnings,xml_payloads,function_inputs,responses,unique_correlations,warning_ratio,hour,sin_hour,cos_hour,anomaly_score
2026-01-06 13:00:00+00:00,70,14,0,12,36,14,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:01:00+00:00,133,27,0,25,63,27,0.20300751879699247,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:02:00+00:00,72,14,0,13,32,15,0.19444444444444445,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:03:00+00:00,25,5,0,5,9,5,0.2,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:04:00+00:00,115,23,0,22,59,23,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:05:00+00:00,85,17,0,13,45,17,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:06:00+00:00,100,20,0,16,56,20,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:07:00+00:00,100,20,0,17,50,20,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:08:00+00:00,115,23,0,17,63,23,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:09:00+00:00,75,15,0,14,39,15,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:10:00+00:00,100,20,0,19,50,20,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:11:00+00:00,116,23,0,19,56,23,0.19827586206896552,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:12:00+00:00,75,15,0,14,35,15,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:13:00+00:00,154,30,0,25,71,31,0.19480519480519481,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:14:00+00:00,158,32,0,29,86,32,0.20253164556962025,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:15:00+00:00,151,30,0,25,85,31,0.1986754966887417,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:16:00+00:00,116,24,0,19,64,24,0.20689655172413793,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:17:00+00:00,120,24,0,19,56,24,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:18:00+00:00,68,14,0,10,34,14,0.20588235294117646,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:19:00+00:00,92,17,0,16,47,19,0.18478260869565216,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:20:00+00:00,90,18,0,13,50,18,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:21:00+00:00,85,17,0,16,43,17,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:22:00+00:00,106,21,0,19,60,21,0.19811320754716982,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:23:00+00:00,105,21,0,15,55,21,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:24:00+00:00,145,29,0,27,73,29,0.2,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:25:00+00:00,171,34,0,28,90,34,0.19883040935672514,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:26:00+00:00,159,32,0,25,86,32,0.20125786163522014,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:27:00+00:00,137,29,0,20,82,29,0.2116788321167883,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:28:00+00:00,129,26,0,21,61,26,0.20155038759689922,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:29:00+00:00,135,27,0,23,79,27,0.2,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:30:00+00:00,190,38,0,35,106,38,0.2,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:31:00+00:00,130,26,0,22,76,26,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:32:00+00:00,115,23,0,19,63,23,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:33:00+00:00,70,14,0,14,36,14,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:34:00+00:00,55,11,0,10,31,11,0.2,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:35:00+00:00,55,11,0,8,31,11,0.2,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:36:00+00:00,95,19,0,18,47,19,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:37:00+00:00,125,25,0,24,71,25,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:38:00+00:00,105,21,0,20,61,21,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:39:00+00:00,113,23,0,20,61,23,0.20353982300884957,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:40:00+00:00,142,27,0,24,75,29,0.19014084507042253,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:41:00+00:00,139,28,0,18,71,28,0.2014388489208633,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:42:00+00:00,70,14,0,14,40,14,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:43:00+00:00,80,16,0,12,42,16,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:44:00+00:00,145,29,0,22,83,29,0.2,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:45:00+00:00,130,26,0,23,74,26,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:46:00+00:00,112,22,0,18,66,22,0.19642857142857142,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:47:00+00:00,100,20,0,16,52,20,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:48:00+00:00,81,17,0,14,45,17,0.20987654320987653,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:49:00+00:00,114,22,0,20,64,24,0.19298245614035087,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:50:00+00:00,75,15,0,12,43,15,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:51:00+00:00,138,28,0,21,80,28,0.2028985507246377,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:52:00+00:00,112,22,0,17,68,23,0.19642857142857142,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:53:00+00:00,65,13,0,11,35,13,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:54:00+00:00,60,12,0,11,28,12,0.2,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:55:00+00:00,95,19,0,18,53,19,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:56:00+00:00,153,31,0,27,88,31,0.20261437908496732,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:57:00+00:00,197,39,0,30,112,40,0.19796954314720813,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 13:58:00+00:00,115,23,0,17,63,23,0.2,13,-0.2588190451025208,-0.9659258262890683,1
2026-01-06 13:59:00+00:00,58,12,0,11,26,12,0.20689655172413793,13,-0.2588190451025208,-0.9659258262890683,-1
2026-01-06 14:00:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:01:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:02:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:03:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:04:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:05:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:06:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:07:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:08:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:09:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:10:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:11:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:12:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:13:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:14:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:15:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:16:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:17:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:18:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:19:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:20:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:21:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:22:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:23:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:24:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:25:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:26:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:27:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:28:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:29:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
2026-01-06 14:30:00+00:00,0,0,0,0,0,0,0.0,14,-0.4999999999999998,-0.8660254037844388,1
